"";"c";"d"
"146";"DELEGADO_EDER_MAURO";"178908"
"147";"DELEGADO_EDSON_MOREIRA";"178893"
"148";"DELEGADO_FRANCISCHINI";"160646"
"149";"DELEGADO_WALDIR";"164359"
"150";"DELEY";"74172"
"151";"DEOCLIDES_MACEDO";"185500"
"152";"DIEGO_ANDRADE";"160588"
"153";"DIEGO_GARCIA";"178929"
"154";"DILCEU_SPERAFICO";"73768"
"155";"DIMAS_FABIANO";"160599"
"156";"DOMINGOS_NETO";"143632"
"157";"DOMINGOS_SAVIO";"160758"
"158";"DR._JOAO";"178940"
"159";"DR._JORGE_SILVA";"160643"
"160";"DR._SINVAL_MALHEIROS";"178830"
"161";"DUARTE_NOGUEIRA";"141385"
"162";"DULCE_MIRANDA";"178994"
"163";"EDINHO_ARAUJO";"73447"
"164";"EDINHO_BEZ";"73793"
"165";"EDIO_LOPES";"141417"
"166";"EDMAR_ARRUDA";"160578"
"167";"EDMILSON_RODRIGUES";"134812"
"168";"EDUARDO_BARBOSA";"74655"
"169";"EDUARDO_BOLSONARO";"92346"
"170";"EDUARDO_CUNHA";"74173"
"171";"EDUARDO_CURY";"178977"
"172";"EDUARDO_DA_FONTE";"141421"
"173";"EFRAIM_FILHO";"141422"
"174";"ELCIONE_BARBALHO";"74075"
"175";"ELI_CORREA_FILHO";"160532"
"176";"ELIZEU_DIONIZIO";"181316"
"177";"ELIZIANE_GAMA";"178883"
"178";"ELMAR_NASCIMENTO";"178854"
"179";"ENIO_VERRI";"132504"
"180";"ERIKA_KOKAY";"160575"
"181";"ERIVELTON_SANTANA";"99654"
"182";"ERON_BEZERRA";"171782"
"183";"EROS_BIONDINI";"160640"
"184";"ESPERIDIAO_AMIN";"160649"
"185";"EURICELIA_CARDOSO";"202915"
"186";"EVAIR_VIEIRA_DE_MELO";"178871"
"187";"EVANDRO_GUSSI";"178828"
"188";"EVANDRO_ROMAN";"178930"
"189";"EXPEDITO_NETTO";"178953"
"190";"EZEQUIEL_FONSECA";"178904"
"191";"EZEQUIEL_TEIXEIRA";"178941"
"192";"FABIANO_HORTA";"146829"
"193";"FABIO_FARIA";"141428"
"194";"FABIO_GARCIA";"178905"
"195";"FABIO_MITIDIERI";"178969"
"196";"FABIO_RAMALHO";"141427"
"197";"FABIO_REIS";"171623"
"198";"FABIO_SOUSA";"178877"
"199";"FABIO_TRAD";"160587"
"200";"FABRICIO_OLIVEIRA";"190149"
"201";"FATIMA_PELAES";"74065"
"202";"FAUSTO_PINATO";"66828"
"203";"FELIPE_BORNIER";"141430"
"204";"FELIPE_CARRERAS";"72442"
"205";"FELIPE_MAIA";"141429"
"206";"FELIPE_SOUZA";"205234"
"207";"FELIX_MENDONCA_JUNIOR";"160666"
"208";"FERNANDO_COELHO_FILHO";"141431"
"209";"FERNANDO_JORDAO";"163831"
"210";"FERNANDO_MARRONI";"73481"
"211";"FERNANDO_MONTEIRO";"92699"
"212";"FERNANDO_TORRES";"160676"
"213";"FLAVIA_MORAIS";"160598"
"214";"FLAVIANO_MELO";"141434"
"215";"FLAVINHO";"178978"
"216";"FLAVIO_NOGUEIRA";"191923"
"217";"FLORIANO_PESARO";"178979"
"218";"FRANCISCO_CHAPADINHA";"178907"
"219";"FRANCISCO_FLORIANO";"160677"
"220";"FRANKLIN";"186775"
"221";"FREIRE_JUNIOR";"74189"
"222";"FREITAS_DO_PT";"204651"
"223";"GABRIEL_GUIMARAES";"129037"
"224";"GENECIAS_NORONHA";"160669"
"225";"GEORGE_HILTON";"141441"
"226";"GEOVANIA_DE_SA";"178966"
"227";"GERALDO_RESENDE";"74374"
"228";"GIACOBO";"74383"
"229";"GILBERTO_NASCIMENTO";"74270"
"230";"GIOVANI_CHERINI";"160673"
"231";"GIOVANI_FELTES";"178996"
"232";"GIOVANNI_QUEIROZ";"74077"
"233";"GIUSEPPE_VECCI";"178878"
"234";"GIVALDO_CARIMBAO";"74558"
"235";"GIVALDO_VIEIRA";"178872"
"236";"GLAUBER_BRAGA";"152605"
"237";"GONZAGA_PATRIOTA";"74419"
"238";"GORETE_PEREIRA";"129618"
"239";"GOULART";"178980"
"240";"GUILHERME_COELHO";"194259"
"241";"GUILHERME_MUSSI";"160667"
"242";"GUSTAVO_MITRE";"205298"
"243";"HEITOR_SCHUCH";"178964"
"244";"HELDER_SALOMAO";"178873"
"245";"HELIO_LEITE";"178909"
"246";"HENRIQUE_FONTANA";"73482"
"247";"HERACLITO_FORTES";"97707"
"248";"HERCULANO_PASSOS";"178981"
"249";"HERMES_PARCIANELLO";"73772"
"250";"HEULER_CRUVINEL";"160596"
"251";"HILDO_ROCHA";"178884"
"252";"HIRAN_GONCALVES";"178959"
"253";"HISSA_ABRAHAO";"178849"
"254";"HUGO_LEAL";"141450"
"255";"HUGO_MOTTA";"160674"
"256";"HUMBERTO_SOUTO";"74662"
"257";"ILDON_MARQUES";"194592"
"258";"INDIO_DA_COSTA";"141389"
"259";"IRACEMA_PORTELLA";"67138"
"260";"IRAJA_ABREU";"81232"
"261";"IRMAO_LAZARO";"178855"
"262";"IVAN_VALENTE";"73531"
"263";"IZALCI_LUCAS";"4931"
"264";"IZAQUE_SILVA";"196378"
"265";"JAIME_MARTINS";"74665"
"266";"JAIR_BOLSONARO";"74847"
"267";"JANDIRA_FEGHALI";"74848"
"268";"JANETE_CAPIBERIBE";"73926"
"269";"JARBAS_VASCONCELOS";"131943"
"270";"JEAN_WYLLYS";"160672"
"271";"JEFFERSON_CAMPOS";"74273"
"272";"JERONIMO_GOERGEN";"160570"
"273";"JESSICA_SALES";"178839"
"274";"JHC";"178842"
"275";"JHONATAN_DE_JESUS";"160531"
"276";"JO_MORAES";"141503"
"277";"JOAO_ARRUDA";"160573"
"278";"JOAO_CAMPOS";"74366"
"279";"JOAO_CARLOS_BACELAR";"141458"
"280";"JOAO_CASTELO";"74445"
"281";"JOAO_DANIEL";"178970"
"282";"JOAO_DERLY";"178965"
"283";"JOAO_FERNANDO_COUTINHO";"178917"
"284";"JOAO_GUALBERTO";"178856"
"285";"JOAO_MARCELO_SOUZA";"112437"
"286";"JOAO_PAULO_KLEINUBING";"178967"
"287";"JOAO_PAULO_PAPA";"178988"
